title,url,published_at,text_snippet,is_blockage_attributed
"DOWNPOUR: Two dead in fresh Lagos building collapse, flood wreaks havoc - Vanguard News",https://news.google.com/rss/articles/CBMiqgFBVV95cUxQMGU1cFFmRlJHODVnTHlTQkFwX1ZRbnJ1NENrSkwxcVFxd2k2dzh2YnRvVVFfZE03a1E4ZVRZdzdnR3o3Z1QwYmJLeXVYYUVKdDFkOXgxQXJ4WXNkRF92VllZb0RGNmRjNVJLbktlLWx3TFRXcjlrajIzTDNCb21pSzB2WFBQTkpNQnp3bFEtSEtzLUZNQUw5eEI1SGhuVElHN2JmQXVXZ2lfZ9IBrwFBVV95cUxPa25ua1lmUXNZbGFyaldJZHV1bTBhVndNTUZVQmxtLWVhTTNKbmtRMHRtMjdaS0tRc19mcUQzSW1kNS1VY2ZGZ3ZSOE5vR3QzWTVKMUpoSnRQYzNZQmhxLXREb0RrbGZPSHhZc00zMVJIaGUzSUZXeER6WEZTbEJtRHdvY0VrWUltbnFadjhrVlc1aHdYVFpySnFHSlZJeFhMdkFQM2NSQnVLSWtSRnJV?oc=5,2022-05-22,"DOWNPOUR: Two dead in fresh Lagos building collapse, flood wreaks havoc Vanguard News",0
"445 LGAs across 32 states, FCT to battle heavy flooding in 2022 - The ICIR",https://news.google.com/rss/articles/CBMilgFBVV95cUxOVXlLdmtsaV9hZFN6ZEcxSjA2X3lLd1Q3MWZWSGdhcGM0S1BQUEQyaTNkNGdTakkzeFJ4M2FHc3pfMFNJWjI3MjZ6N1JQUWx5R21BbmppU2Y5MzRfZXBRRzBJalY3RmRfc0dpSC1HZndRYlF0ZWdJNURidmNFdmM0cWxOZjhCaUh0YlVaR081bjIxVGpFVkE?oc=5,2022-05-12,"445 LGAs across 32 states, FCT to battle heavy flooding in 2022 The ICIR",0
"Despite sacrifices, Nigerians yet to appreciate firefighters, laments Jaji - The Guardian Nigeria News",https://news.google.com/rss/articles/CBMinwFBVV95cUxOU0ZqZnhVNWRBa281N1hWVnlYeDFOazJqdnVCdGI1aDY4Y2FMd1pmSi1TbENub2pGbWZlb0hkOFZWZlBWOHF6T1R3ZWlVTFhTa1pKRHVhMWRoQ1o1MDNfbDZueTVDU2xDVmpzZ3VuN1pRY0lqZzczZmdHZ3NEbzFxaUJxMTJteEJXQmpIRjQ1TU9XMEVidzNCdlZYMC11ZE0?oc=5,2022-05-05,"Despite sacrifices, Nigerians yet to appreciate firefighters, laments Jaji The Guardian Nigeria News",0
"We are neglected, two Lagos slums cry out for help! - The Nation Newspaper",https://news.google.com/rss/articles/CBMihwFBVV95cUxPdWRLNEtwcVJSdUVHWGlWZGZ0ZWd5VkFmaERjU2pYZUQtZzc3OUE4eVJZVGN1aVhndmYyYk1BUXd3dTVXUDY2N0JieWlmX2hvYVk3cWpDWVQ5QU4xYkRseXdFck9OVnlIN2lOWTRiWHREQzRrSzI3eEtqcjBkMW5QRTN5NGtLMlXSAYwBQVVfeXFMUHZpVHR1cHNCdEFaLWctaVZ5V2loejFBSTEyZWwyVEtYWFNST01jLWE4RG12YmxGOW9nYlk3WncyYk5BbFpzVGJMUXBpNm9RVUtWb2dzZXI2NTBmbGJiTlVGQ1hkdDF3amxvS1F0OWJQal9fajlKNmc0SzNLdUl4SW1WRDBvZHJ4WXlmUGY?oc=5,2022-05-02,"We are neglected, two Lagos slums cry out for help! The Nation Newspaper",0
Evaluation of future estuarine floods in a sea level rise context - Nature,https://news.google.com/rss/articles/CBMiX0FVX3lxTE1CUEgyTEk4TVdwSmRLQXFvM29fU2c0NnhEeXpuV1RqZmJfaldjTERSZVZ6eTVTLVNXSW5SU0pPWEprbVJDdGhQcWRJMWRxQzVIREpKOEdxcEg2ZXhkaklR?oc=5,2022-05-16,Evaluation of future estuarine floods in a sea level rise context Nature,0
"Updated: Two dead, three rescued as two-storey building collapse in Lagos - Vanguard News",https://news.google.com/rss/articles/CBMisgFBVV95cUxObkZERXZoRUhab1pkZEhwa0pPaFJYNXBvRjlRZWE4dTFKekxPb2lqVlBkdmZVUnlwUXNHSnRfaGRWYS1EYVVYeHpMTTlTc1F1bEFVX281MXlxS2g5Z0J2QlpXZVNTcnVraFlWc2J5NldBUDhCdnNWLXU5SzRzMlFpOG1lZXF4bktPaU9CaXZxejVvMlZFdGxrNGYtQzlrUTFobmR4ekZDVEZTQVgwV29tMVVB0gG3AUFVX3lxTE0tS21ZTWktX2k0czM2cFdQb1JDYzNpS3NPbWszcXlNOFJZbnpOSVZmMjRHSmd5VHktUDdPellJREZURFh3NnFEZnZEUHN2Z3o0UWdWLXJ3RWwzVXRXdzUyN2ZmRF9TM3RxY19wVzB3dUNNVVcxLVdIYS1ySmZ0SjlkOERIUFJuS0JGUDcyWlFqNThsSmwzclM1MzJYblVxYXpZUEdaNGNnZGRyZXhVM2NtZ0MxZnN2aw?oc=5,2022-05-21,"Updated: Two dead, three rescued as two-storey building collapse in Lagos Vanguard News",0
Strongmas Unveils AI-Enabled System Omini Residence Units in Lagos - THISDAYLIVE,https://news.google.com/rss/articles/CBMiqgFBVV95cUxOWjlQbWpNb24tZVpQQTAtQVJUNUtRMTdmNlN0OTU1dW9qX3ZIX3E0bjB2RWZmWEpXN3pVa3lIaTlTQnRDRWY2N1FDVmhnQ2dfUnZCVDZiYk1VTUhzQzVGMWZ3VnhvUnNWcDdRR0FrdzlubUlyYjRyaEV3cXZET0I3WXZ4aEdOOGlyTFNmal9fN2xlSTJYV0dlZGFtZmhQcXFYY1AwRWFvSlZlQQ?oc=5,2022-05-02,Strongmas Unveils AI-Enabled System Omini Residence Units in Lagos THISDAYLIVE,0
"One missing, properties lost as flood hits parts of Abuja - The ICIR",https://news.google.com/rss/articles/CBMijgFBVV95cUxNZHlKT2pZMl9zWUhtTDB0dzNrbm9mT0o5d1VDbW1kOEUxQXlqdUktY2tsejdURUxoTVVOa2txZ2w2M2FWdWlDQ2h6SzdITHk2M1ZudXdMMFJjRllvZURiYk9JNEVqTnFGX1ppemUyekhZY1JZQmJXLUxNSk1kQUpSWXk3TmZtUlRaZXlEV3pn?oc=5,2022-05-04,"One missing, properties lost as flood hits parts of Abuja The ICIR",0
Peter Obi Resigns Membership of PDP - thebossnewspapers.com,https://news.google.com/rss/articles/CBMigAFBVV95cUxQQ3VSS0FrSlNiVjZBTXhMMXdRWmxhQmZDQUVqN1Q1d2NzQVFOOHhheHpvUFhETlFveXp5WGJ0YndteTlxNUt2R2thRFZucFpNRTF2aHVTWlB5TTdVLWNmMmgyTlc3VFF0WkpjQnowcTZvWmhMckdSeXpObUdOYjh6Zw?oc=5,2022-05-25,Peter Obi Resigns Membership of PDP thebossnewspapers.com,0
French language village gasping for breath 30 years on - The Guardian Nigeria News,https://news.google.com/rss/articles/CBMilgFBVV95cUxPQ1VyNXBhUGlGR296dG5TWkFQOGRkMUE5S0dPWXhxeEVvVkR2MHVJUVBTc2xxZlBUeElfd1ltZGwyTExZRW5zTUd5RXY5LUlqRElDQ0tESWhnQlRBMHVObE1rMDBjYmpuZnlpek1ObDJGbXNOeVhOMHRoSndQUXEtOXJDU0FUWjJRSWRtbUo5bWdWVVZpYXc?oc=5,2022-05-08,French language village gasping for breath 30 years on The Guardian Nigeria News,0
